"","Name","pos","exp","hgt","Team","conf","mpg","ppg","rpg","apg","spg","bpg","two_pct","three_pct","ft_pct","tov","ast_to","efg","ts","usg","ortg","drtg","rim_pct","mid_pct","obpm","dbpm","bpm","ftr","pfr","Rating","year"
"25","Dre Fuller Jr.","Wing F","Sr","6-6","UTSA","Amer",22.5625,9.3125,4.4375,1.125,0.5625,0.5,0.431,0.313,0.696,1.40620004474341,0.80002842,45,47.46,22.8,95.5,111.939,0.481,0.3621,-0.465175,-2.04938,-2.51456,19.9,3,66,2024
"26","Bryce Workman","PF/C","Sr","6-7","Jacksonville","ASun",28,13,8.5263,1.2632,1.2105,0.3158,0.507,0.381,0.704,1.68419999480287,0.75002969,51.6,56.74,23.3,114.9,105.425,0.5341,0.4583,2.84855,-0.421493,2.42706,62.4,2.9,73,2024
"27","Connor Vanover","PF/C","Sr","7-5","Missouri","SEC",12.875,4.2083,2.9583,0.375,0.5417,0.875,0.686,0.238,0.889,0.375,1,59,62.69,14.7,123.4,105.26,0.7179,0.5833,2.82488,2.56293,5.38781,25,3,76,2024
"28","Jahmar Young Jr.","C","Sr","6-11","Texas Southern","SWAC",17.6842,4.6316,4.1053,0.3684,0.0526,0.9474,0.367,0,0.63,1.15789996423208,0.3181622,35.5,44.5,18.6,92.4,106.378,0.4419,0.1765,-4.82106,-1.81052,-6.63159,87.1,6.3,60,2024
"29","Moses Wood","Wing F","Sr","6-8","Washington","P12",32.5625,11.875,4.5,0.75,0.5625,0.5625,0.478,0.396,0.871,0.9375,0.8,55.8,59.11,15.3,116.2,107.777,0.6,0.4,3.05291,0.571249,3.62416,21.2,2.8,80,2024
"30","Quentin Millora-Brown","C","Sr","6-10","The Citadel","SC",32.4062,11.1562,9.375,2,0.6875,1.4688,0.62,0.118,0.522,1.68749999314453,1.18518519,58.6,57.86,19.5,112.7,104.978,0.6667,0.3548,1.17512,0.298878,1.474,50.9,3,78,2024
"31","Blake Brinkmeyer","PF/C","Sr","6-8","Tarleton St.","WAC",10,0,4,0,1,0,0,0,0,NA,NA,0,0,1.7,210.4,88.0575,NA,NA,2.02603,2.18149,4.20753,0,0,32,2024
"32","Mason Forbes","PF/C","Sr","6-9","Saint Mary's","WCC",16.3636,5.2727,2.6061,0.3939,0.3939,0.7879,0.694,0.333,0.32,0.545499974199887,0.72208986,68.8,62.12,14.5,115.2,94.9083,0.7111,0.5714,0.694267,3.22149,3.91575,49.5,3.8,75,2024
"33","Xavier Johnson","Scoring PG","Sr","6-3","Indiana","B10",25.7,7.55,2.55,2.8,0.8,0.3,0.446,0.367,0.688,2.25000004419643,1.24444442,47.3,52.65,19.6,93.6,110.048,0.4902,0.375,-1.74621,0.613471,-1.13274,56.6,3.6,81,2024
"34","Allen Betrand","Wing G","Sr","6-5","Norfolk St.","MEAC",24,11.4118,2.8235,1.1176,0.7941,0.1765,0.492,0.371,0.848,1.35290007434777,0.82607727,51.4,55.98,23.1,108.9,105.359,0.5556,0.4615,1.05421,-1.78824,-0.734028,28.6,3.8,66,2024
"35","Robert Braswell IV","Wing F","Sr","6-7","Charlotte","Amer",16.7778,6.3333,1.7407,0.2593,0.2593,0.2963,0.6,0.337,0.632,0.518499981353597,0.50009645,53.5,54.34,18.8,106,109.319,0.7,0.3,1.7064,-1.23126,0.475145,14.7,2.6,65,2024
"36","Jordan Lathon","Wing G","Sr","6-5","Morehead St.","OVC",30.8387,15.6129,6.0323,2.3226,1.0323,0.2903,0.478,0.381,0.795,1.87100013907236,1.24136816,51.7,54.57,25.7,109.8,100.136,0.5534,0.402,2.15794,0.310042,2.46798,20.7,2.7,78,2024
"37","Ithiel Horton","Wing G","Sr","6-5","Texas","B12",19.9706,5.8824,2.7353,0.8235,0.5,0.0882,0.429,0.351,0.719,0.705900033343169,1.16659578,47.8,49.95,15.7,101,103.512,0.5,0.403,-0.201706,0.617291,0.415585,17.3,2.8,76,2024
"38","Kjell de Graaf","PF/C","Sr","6-10","NJIT","AE",25,10.3846,4.8462,0.8462,0.3077,1.8462,0.548,0.385,0.839,1.30770006311948,0.64709028,55.9,65.01,19,120.6,112.896,0.5526,0.5,1.00872,-0.830278,0.178443,82.4,4.4,67,2024
"39","Aaron Clarke","Combo G","Sr","6-1","Stony Brook","CAA",33.0323,13.871,3.5484,3,0.7419,0.0645,0.471,0.351,0.775,1.32260000518106,2.26825948,49.7,52.75,22.2,109.2,109.953,0.4444,0.4884,1.86285,-1.05379,0.809057,22.1,1.8,75,2024
"40","Cameron Wilbon","Wing G","Sr","6-5","Cal St. Bakersfield","BW",20.2188,5.4688,2.5938,0.8438,0.375,0.125,0.412,0.333,0.654,0.8438,1,42.7,46.25,17.3,97.4,110.728,0.4615,0.3913,-1.95169,-1.86172,-3.81341,32.9,2.6,62,2024
"41","Myles Thompson","Stretch 4","Sr","6-7","Morgan St.","MEAC",23.3333,8,4,0.2222,0.4444,0.1111,0.381,0.227,0.7,1.44439993080921,0.15383551,36,39.79,17.6,76.5,115.752,0.75,0.1538,-5.52768,-5.05274,-10.5804,23.3,2.9,53,2024
"42","Jeremiah Gambrell","Combo G","Sr","6-3","Alcorn St.","SWAC",27.0667,13.2,2.4333,0.8,1.0667,0.2,0.487,0.435,0.8,0.766700017797983,1.04343287,58.7,61.51,19.5,125,114.892,0.6,0.4324,5.10565,-1.52133,3.58431,26.5,1.7,68,2024
"43","Jaelin Llewellyn","Combo G","Sr","6-2","Michigan","B10",17.55,5.15,1.2,1.15,0.3,0.05,0.356,0.404,0.7,1.54999998719565,0.74193549,48.4,50.74,18.7,88.4,117.701,0.4815,0.1667,-1.55547,-1.62621,-3.18168,21.7,3.1,70,2024
"44","Spencer Johnson","Wing G","Sr","6-5","BYU","B12",27.7647,10.3235,6.2647,3.1765,1,0.0588,0.533,0.297,0.811,1.61759991895348,1.96371177,49,52.84,20.6,112.6,99.3899,0.7356,0.2615,3.11496,1.73723,4.85219,24.9,2.2,84,2024
"45","Chris Doherty","PF/C","Sr","6-7","Northeastern","CAA",28.9355,13.6129,6.7097,2.2581,0.4839,0.8065,0.598,0.235,0.737,2.83870002599093,0.79546975,54.7,57.47,26.9,104.5,109.732,0.6737,0.375,1.03276,-1.22529,-0.192533,29.5,3.4,74,2024
"46","John Newman III","Wing G","Sr","6-5","Cincinnati","B12",29.2432,9.2703,5.4324,1.7568,1.1892,0.2432,0.563,0.351,0.716,1.40539999669449,1.25003558,54.9,57.33,16.1,114.2,98.7361,0.6281,0.3913,1.42561,3.01916,4.44477,28,3,82,2024
"47","Wynston Tabbs","Combo G","Sr","6-3","Morgan St.","MEAC",26.125,14.75,3.125,1.875,1.125,0.1667,0.436,0.344,0.887,2.95830013265964,0.63380993,47,51.91,30.9,95,111.539,0.4902,0.3492,0.216446,-2.84035,-2.6239,24.7,3.7,64,2024
"48","Raheem Solomon","Wing G","Sr","6-3","Sacred Heart","NEC",22.0323,7.8387,2.4516,0.8387,0.6129,0.3548,0.39,0.359,0.768,1.35479998592055,0.61905817,45.9,50.09,20,94,108.554,0.5357,0.2245,-3.52859,-3.13621,-6.6648,28.4,4.3,58,2024
"49","Tyrel Bladen","C","Sr","6-10","Norfolk St.","MEAC",19.8235,5.6765,3.4412,0.4706,0.5294,0.4118,0.56,0,0.48,1.05879995846696,0.44446545,54.7,54.12,16.2,98.5,104.013,0.6275,0.3438,-3.30185,-1.14577,-4.44762,36.5,4.7,58,2024
"50","Tuukka Jaakkola","C","Sr","6-10","Cal Poly","BW",18.4333,6.0667,3.5,0.4333,0.4,0.4667,0.556,0,0.492,1.23329999941366,0.35133382,55.6,54.92,19.9,96.4,110.656,0.6458,0.3243,-3.16328,-1.25432,-4.4176,48.9,5.6,54,2024
"51","Luis Rodriguez","Wing F","Sr","6-6","UNLV","MWC",32.0645,10.6774,6.6129,1.4839,1.6129,0.3548,0.479,0.307,0.766,1.06450000587523,1.39398778,47.1,51.27,17.9,112,102.804,0.5876,0.2444,2.14597,2.06346,4.20943,30.1,3.5,81,2024
"52","Amari Kelly","PF/C","Sr","6-9","George Mason","A10",28.5161,12.1935,6.2581,1.0968,0.4516,1.2903,0.587,0.431,0.76,2.35480005100349,0.46577203,60,63.08,22.7,111.1,101.132,0.7232,0.4048,1.45014,1.24089,2.69103,37.8,4.3,80,2024
"53","Carlos Curry","PF/C","Sr","6-11","Georgia Southern","SB",12.4545,2.9091,2.8182,0.1818,0.3636,0.7273,0.435,0.25,0.75,0.909100046460113,0.19997799,41.9,45.98,16.5,84.6,108.013,0.6667,0.2857,-5.46782,-0.495815,-5.96363,25.8,6.4,60,2024
"54","Antwann Jones","Wing G","Sr","6-6","UCF","B12",13.3333,4.3333,1.7083,1.125,0.4583,0.0833,0.526,0.323,0.538,0.708299994701916,1.58831005,51.1,51.82,18,103.9,101.658,0.6,0.4688,0.010535,1.37121,1.38174,29.5,3.1,70,2024
"55","Jayden Hardaway","Wing G","Sr","6-5","Memphis","Amer",12.5667,3.0667,0.9667,0.4667,0.1667,0.1,0.474,0.333,0.85,0.433300001016635,1.07708285,48.7,53.18,11.9,107.4,112.733,0.4737,0.4737,-1.37272,-1.12343,-2.49615,26,2.1,63,2024
"56","Warren Washington","C","Sr","7-0","Texas Tech","B12",26.92,9.72,7.48,1.72,0.76,1.52,0.623,0,0.556,1.51999995616744,1.13157898,62.3,61.7,18.9,116.5,98.1428,0.7414,0.3529,2.86319,3.37542,6.23861,37.7,3.4,87,2024
"57","Keenan Fitzmorris","C","Sr","7-0","Stony Brook","CAA",24.7143,10.9143,4.4,1,0.2571,1.0571,0.528,0.346,0.767,1.3999999692,0.71428573,52.7,58.02,23.2,112.2,108.814,0.7042,0.4512,1.10675,-0.881057,0.225698,49.4,3.4,73,2024
"58","Cormac Ryan","Wing G","Sr","6-5","North Carolina","ACC",30.3056,11.5,2.8056,1.2222,0.6944,0.4167,0.431,0.354,0.874,1.1389000104497,1.07314074,49.4,54.46,17.1,111.6,103.021,0.4844,0.3729,1.49874,1.84024,3.33898,28.4,3.2,83,2024
"59","DaQuan Smith","Combo G","Sr","6-1","Radford","BSth",32.2812,14.8125,2.8438,1.9688,0.9688,0.25,0.442,0.352,0.854,1.40620008674472,1.40008525,47.9,51.55,24.3,107.3,113.537,0.4792,0.4148,1.88556,-1.97805,-0.092494,19.9,2.2,72,2024
"60","Jarron Coleman","Scoring PG","Sr","6-5","Nebraska","B10",12,2.4167,1.6667,2.25,0.25,0.0833,0.357,0.182,0.636,1.41670000424128,1.58819792,30.6,35.17,22.3,75.1,103.211,0.4286,0.2857,-5.70372,-0.206054,-5.90977,30.6,3.1,70,2024
"61","Caleb Fields","Combo G","Sr","6-2","Fairfield","MAAC",35.3143,16.9143,4.0857,2.6571,1.4286,0.0857,0.52,0.389,0.721,1.2856999789607,2.06665633,56,57.97,22.1,118.8,106.205,0.5185,0.5222,4.67086,-1.02775,3.64312,22.8,1.6,77,2024
"62","Daniel Schreier","C","Sr","6-9","NJIT","AE",11.6667,2.3333,1.9444,0.3333,0.1111,0.1667,0.548,0,0.5,0.555599998739773,0.59989201,53.1,53.07,12.5,95.7,115.38,0.6,0.3333,-5.92841,-2.56171,-8.49011,25,7.1,38,2024
"63","Elijah Buchanan","Wing G","Sr","6-5","NJIT","AE",31.3182,13.2273,5.7727,1.8182,1.5455,0.5,0.437,0.255,0.643,1.59089994730308,1.14287514,42,44.6,25.6,93.6,108.405,0.4608,0.4124,-0.379122,-1.45457,-1.8337,23.9,3.4,66,2024
"64","Juan Munoz","Scoring PG","Sr","6-0","Hawaii","BW",19.3235,9.1471,1.6176,1.7353,0.6765,0.0882,0.453,0.399,0.833,1.58820002435246,1.09262056,55.6,58.62,24.1,105.9,102.749,0.4857,0.4138,2.7237,-0.161436,2.56226,21.6,2.4,67,2024
"65","DJ Burns Jr.","PF/C","Sr","6-9","North Carolina St.","ACC",24.8537,12.9024,4,2.8537,0.439,0.6098,0.535,0.2,0.68,1.80490009662607,1.58108474,53.2,54.98,28,108.6,106.452,0.6453,0.4612,3.76768,1.21764,4.98532,22.3,3.9,83,2024
"66","Deon Stroud","Wing G","Sr","6-5","Texas Southern","SWAC",21.2727,6.9697,3.1515,1.1212,0.4848,0.2727,0.483,0.308,0.767,1.21210006238445,0.92500614,47.2,50.36,18.2,97.4,105.134,0.5745,0.381,-1.94737,-1.12609,-3.07345,21.9,3,61,2024
"67","Aanen Moody","Combo G","Sr","6-3","Montana","BSky",33.4722,16.8333,3.4167,2.3056,0.9444,0.0833,0.569,0.382,0.871,1.72220008760543,1.33875269,57.1,59.64,23,113.3,109.987,0.7,0.4766,2.43632,-1.27558,1.16074,16.6,2.5,76,2024
"68","Blake Hinson","Wing F","Sr","6-8","Pittsburgh","ACC",33.6061,18.4545,4.4242,0.7879,0.5455,0.1515,0.5,0.421,0.669,1.27270000341637,0.61907755,57.8,59.49,23.3,117.2,105.782,0.6048,0.2759,5.39537,-0.43585,4.95952,32.7,2.6,83,2024
"69","Franco Miller Jr.","Wing G","Sr","6-3","Florida Gulf Coast","ASun",23.5938,6.5312,3.4375,1.9062,0.8125,0.125,0.39,0.239,0.66,1.24999996721226,1.52496004,37.8,41.44,19.2,87.2,109.757,0.4651,0.1875,-4.51058,-1.03729,-5.54787,27,2.2,62,2024
"70","Jonathan Tchamwa Tchatchoua","PF/C","Sr","6-8","Baylor","B12",5.4211,1.3684,1.2105,0.2632,0.0526,0.1579,0.462,0.444,0,0.473699960424816,0.55562597,54.5,54.55,16.8,91.4,106.289,0.5,0.4286,-3.06651,-0.729169,-3.79568,0,4.2,72,2024
"71","Jimmy Nichols","PF/C","Sr","6-8","Coastal Carolina","SB",19.7143,9.2143,4.9286,1.0714,0.1429,1.1429,0.538,0.538,0.75,2.07139984172757,0.51723476,58.3,60.96,23.8,100.6,109.67,0.7059,0.3548,-1.86116,-0.470054,-2.33121,30.8,5.7,65,2024
"72","Tolu Smith","C","Sr","6-11","Mississippi St.","SEC",28.2174,14.9565,8.087,1.2609,0.6522,0.3913,0.565,0,0.582,2.56520005539319,0.49154061,56.5,57.71,27.6,106.3,100.927,0.6126,0.2813,2.83478,0.47524,3.31002,70.9,3.6,86,2024
"73","TJ Moss","Combo G","Sr","6-4","Cleveland St.","Horz",5.7143,0.8571,0.5,0.4286,0.3571,0.0714,0.308,0,0.8,0.499999982501167,0.85720003,26.7,34.53,15.4,66,106.077,0.2,0.6667,-9.31139,-0.247375,-9.55877,33.3,5,54,2024
"74","Parker Braun","C","Sr","6-10","Kansas","B12",7.5294,2.1765,1.5588,0.2941,0.1765,0.6471,0.757,0.4,0.667,0.352900013154855,0.83338053,72.3,72.16,12,116.8,96.249,0.8125,0.4,-0.27154,5.16937,4.89783,19.1,5,74,2024
"75","Diante Wood","Wing G","Sr","6-4","Tennessee Tech","OVC",26.8333,8.4583,4.0833,2.5417,0.5833,0.25,0.466,0.133,0.8,1.83330007349862,1.38640697,44.2,50.55,21.5,96.2,110.844,0.5385,0.3857,-2.86524,-2.11043,-4.97567,39.9,2.8,62,2024
"76","Kobe Julien","Wing G","Jr","6-6","Louisiana Lafayette","SB",31.5455,17.3333,4.7879,1.2424,1.0909,0.6667,0.517,0.301,0.824,2.18179980325518,0.56943813,49.3,54.83,26.2,106.4,104.416,0.6,0.375,1.25485,-0.374253,0.880596,36.7,3.6,76,2024
"77","Amanze Ngumezi","PF/C","Sr","6-9","Mercer","SC",12.9286,4.9643,2.75,0.5,0.3214,0.6071,0.474,0.265,0.552,0.857100016835159,0.58336249,45.1,46.51,23,90.7,106.522,0.6316,0.325,-4.24451,-1.04835,-5.29285,25.9,6.4,59,2024
"78","Darius Beane","Combo G","Sr","6-3","Lindenwood","OVC",31.8065,12.2581,3.4194,2.4194,1.1613,0.0645,0.421,0.308,0.757,2.16129995805234,1.11941889,42.3,47.47,24.3,90,110.988,0.5294,0.3884,-3.75881,-2.11729,-5.8761,33.8,3.4,61,2024
"79","Cameron Jones","Stretch 4","Sr","6-6","McNeese St.","Slnd",12.7879,3.3939,2.3939,0.9091,0.6667,0.1818,0.488,0.154,0.824,0.545499981875672,1.66654451,36.3,40.87,15.9,96.4,98.5101,0.5625,0.2222,-3.55492,0.158348,-3.39657,21.3,4.8,61,2024
"80","Tre King","Wing F","Sr","6-7","Iowa St.","B12",23.4054,9,5.3243,0.7297,1.1081,0.2162,0.565,0.277,0.811,1.29729993428697,0.56247594,53.7,57.58,19.4,110.2,90.2544,0.686,0.3953,0.822933,2.89032,3.71326,29.1,4.2,83,2024
"81","Cameron Tyson","Wing G","Sr","6-3","Seattle","WAC",32.0588,17.9118,4.2353,1.4118,0.7059,0.0294,0.437,0.397,0.876,1.73529992135716,0.81357694,53.3,56.93,25.4,111.4,99.1547,0.5789,0.3759,4.69396,0.536214,5.23017,21.6,2.7,79,2024
"82","RayQuawndis Mitchell","Wing G","Sr","6-5","Penn St.","B10",8.9091,3.0909,1.3636,0.3182,0.4091,0,0.524,0.316,0.651,0.6364,0.5,50,56.27,19.3,97.9,103.685,0.5,1,-1.68258,1.3354,-0.347183,107.5,3.7,61,2024
"83","Braden Norris","Scoring PG","Sr","6-0","Loyola Chicago","A10",34.6364,9.1818,3.2727,4.7879,1.2424,0.0606,0.513,0.429,0.85,1.93939997065563,2.46875326,61.8,65.21,14.1,117.7,101.097,0.5294,0.5,1.42243,1.93038,3.35281,30,2.1,81,2024
"84","Nick Honor","Scoring PG","Sr","5-10","Missouri","SEC",31.4688,11.0938,1.1875,1.6562,0.9062,0.0938,0.333,0.365,0.861,1.34379990262846,1.23247516,47.1,51.42,18.9,102.7,118.135,0.34,0.3279,0.204615,-1.79847,-1.59386,23.2,2.6,76,2024
"85","Dravon Mangum","Wing F","Sr","6-8","Louisiana Tech","CUSA",19.6774,5.6774,3.871,0.5484,0.6452,0.2903,0.379,0.299,0.792,0.580600037434092,0.94454007,41.6,48.04,14.4,104.3,98.8067,0.4737,0.2,-1.51763,0.708759,-0.808871,38.4,3.4,67,2024
"86","Jared Bynum","Pure PG","Sr","5-10","Stanford","P12",23.6667,6.8889,2.2222,5.1667,0.5556,0.0556,0.375,0.327,0.864,2.16669993018854,2.38459416,42.3,46.11,22.8,96.7,109.909,0.45,0.2813,-0.838029,-1.51768,-2.35571,17.7,2.6,80,2024
"87","Sy Chatman","Wing F","Sr","6-8","Buffalo","MAC",32.6129,18.1613,6.3871,1.2903,1.1613,1.5806,0.537,0.261,0.689,2.74189994137098,0.4705861,49,52.52,28.9,97.7,110.086,0.6425,0.3429,0.6201,-0.949618,-0.329518,37.3,3.1,73,2024
"88","Tre Wood","Combo G","Sr","6-1","George Mason","A10",7.2727,1.9091,0.6818,0.5,0.1364,0,0.483,0.2,0.5,0.636399984059453,0.78566941,43.6,44.57,20.5,78.1,106.643,0.4286,0.5333,-5.74226,-1.24009,-6.98235,25.6,3.5,54,2024
"89","Samba Diallo","Wing G","Sr","6-7","Merrimack","NEC",28.5152,7.5455,4.5455,0.9091,1.1515,0.1212,0.452,0.322,0.8,1.30299998295823,0.69769763,46.3,54.53,15.1,103.5,96.6282,0.4937,0.32,-3.1088,0.257569,-2.85123,58.3,3.3,67,2024
"90","Blake Preston","C","Sr","6-9","Northwestern","B10",10.2857,2.1071,2.0357,0.9286,0.25,0.3214,0.469,0,0.419,0.499999991923326,1.85720003,46.9,46.29,17.3,103,105.305,0.5,0.2857,-3.53785,1.63569,-1.90216,63.3,7.8,71,2024
"91","Ryan Young","C","Sr","6-10","Duke","ACC",11.8333,2.7778,3.4167,0.8333,0.3056,0.4722,0.591,0,0.629,0.8333,1,58.2,59.79,16.2,111.4,96.4422,0.6667,0.1111,0.291639,3.38749,3.67913,52.2,5.9,77,2024
"92","Jaedon LeDee","Wing F","Sr","6-9","San Diego St.","MWC",32.5833,21.4444,8.3889,1.3056,1.2222,0.5278,0.57,0.429,0.731,2.36109988119812,0.55296263,57.6,62.29,30.5,119.7,98.4517,0.6984,0.4591,8.11279,1.9533,10.0661,66.7,3,90,2024
"93","Kenneth Nwuba","C","Sr","6-10","UCLA","P12",7.9697,1.2727,1.4848,0.2424,0.1818,0.1212,0.538,0,0.526,0.4241999862135,0.57142859,53.8,54.25,12,99.4,104.247,0.65,0.1667,-4.30069,1.68334,-2.61735,73.1,8.4,60,2024
"94","Francisco Caffaro","C","Sr","7-1","Santa Clara","WCC",15.6774,4.4516,3.9032,1.4194,0.3226,0.4194,0.662,0,0.619,1.0644999924516,1.33339597,66.2,65.89,16.5,118.8,103.396,0.6949,0.5,1.18951,1.89442,3.08394,88.7,4.4,68,2024
"95","Dorian James","PF/C","Sr","6-7","North Florida","ASun",28.25,10.125,5.4062,1.5625,0.25,1.2812,0.556,0.467,0.679,1.812499990575,0.86206897,58.8,60.73,19.2,110.6,112.472,0.6195,0.4043,-1.25498,-0.960275,-2.21526,38,4.2,70,2024
"96","Bryce Washington","Wing G","Sr","6-4","Hofstra","CAA",20.2581,4.7097,2.4516,0.5484,0.5161,0.2581,0.608,0.304,0.619,0.483900022408171,1.13329195,52.1,53.09,12.2,102.2,106.241,0.6122,0.5,-2.32621,0.440258,-1.88595,17.5,2.8,65,2024
"97","Anthony Crump","Wing F","Sr","6-8","Western Michigan","MAC",21.2812,5.6875,6.25,1.3438,0.5938,0.3438,0.523,0.182,0.261,1.53120010503044,0.87761227,50.3,44.99,19,85,103.794,0.5728,0.3448,-4.05566,-0.266666,-4.32233,64.3,4.7,62,2024
"98","Darius Brown II","Scoring PG","Sr","6-2","Utah St.","MWC",36.0286,12.3429,4.3143,6.5143,1.4571,0.2286,0.497,0.391,0.861,1.91430000114547,3.40296714,54,57.41,19.1,117.9,105.314,0.5507,0.4615,4.21276,0.986378,5.19913,21.9,1.4,87,2024
"99","Isaiah Bigelow","Wing F","Sr","6-7","Richmond","A10",26.4242,11.1818,6.4242,0.6667,0.8788,0.303,0.491,0.372,0.807,0.757599999563644,0.88001584,52.1,56.01,21.2,108.1,94.6553,0.5769,0.4096,1.41495,1.27699,2.69194,28.6,3.8,79,2024
"100","Messiah Jones","Wing F","Sr","6-6","Towson","CAA",16.7647,5.4118,3.7059,0.3529,0.5,0.1765,0.523,0.423,0.702,1.02940000243859,0.34282106,54.4,57.12,18.5,111.5,102.925,0.5479,0.4737,-0.223342,0.175546,-0.0477959,34.3,5,70,2024
"101","Anthony Roberts","Wing G","Sr","6-4","Fort Wayne","Horz",32.1111,13.4167,5.75,1.5556,1.7222,0.7222,0.513,0.316,0.806,2.02780002247057,0.76713679,50.1,53.95,21.7,101.8,98.6637,0.5266,0.48,-0.462925,1.03379,0.570862,26,2.3,76,2024
"102","Matt Veretto","Wing F","Sr","6-8","Vermont","AE",21.8966,8.6897,3.2069,1.3448,0.4483,0.5517,0.513,0.322,0.644,0.344799996336628,3.90023206,49.5,51.31,19.7,108.1,99.042,0.6279,0.3636,0.513969,1.11475,1.62872,23.2,3.4,74,2024
"103","Brock Cunningham","Wing G","Sr","6-6","Texas","B12",22,4.4412,3.7941,2.0882,1,0.3824,0.477,0.368,0.893,0.88239993784578,2.36650062,52.5,56.64,12.8,120.5,100.723,0.4737,0.48,1.71271,3.42911,5.14181,23.3,5.3,80,2024
"104","Jake Wolfe","Wing G","Sr","6-5","Indiana St.","MVC",10.7143,2.0571,1.6286,0.9143,0.2857,0.0571,0.714,0.333,0.696,0.399999994750082,2.28575003,65,66.76,9.8,126.1,103.497,0.7391,0.6,0.160237,1.97603,2.13627,57.5,3.8,64,2024
"105","Micheal Anumba","Wing G","Sr","6-4","Winthrop","BSth",27.4444,8.9444,3.6111,1.1667,0.7778,0.1667,0.558,0.462,0.808,1.77779996408744,0.65626056,61.5,66.55,15.3,113.6,106.867,0.6053,0.4286,-0.210923,0.174041,-0.0368818,57.1,4,67,2024
"106","Rashad Williams","Scoring PG","Sr","6-2","Arkansas Pine Bluff","SWAC",30.6207,17.6897,1.8621,3,0.8276,0.0345,0.364,0.393,0.84,2.68969989377568,1.11536607,50.7,54.41,28,99.3,118.438,0.3692,0.3594,0.971687,-4.71762,-3.74593,22.9,3.1,66,2024
"107","Dawson Carper","C","Sr","6-11","Missouri St.","MVC",4.0667,1.1333,0.9333,0,0.1333,0.1333,0.615,0,0.2,NA,0,61.5,55.28,17.5,87.3,100.084,0.7273,0,-5.1395,1.92938,-3.21012,38.5,7.2,53,2024
"108","LaQuill Hardnett","PF/C","Sr","6-8","Arkansas St.","SB",8.7692,2.3077,2.4615,0,0.2308,0.3846,0.556,0.5,0.5,NA,0,59.1,58.14,12.9,123.1,108.219,0.5294,1,0.0455338,-0.719109,-0.673575,36.4,6.7,52,2024
"109","Jason Wade","Wing G","Sr","6-4","Old Dominion","SB",18.0625,2.1562,3.7812,1.0625,1,0.3125,0.5,0.267,0.591,0.906199993485595,1.17247849,47.4,49.67,9.9,96.5,105.135,0.5,0.5,-5.26657,1.43477,-3.8318,38.6,6.4,58,2024
"110","Nicolas Timberlake","Wing G","Sr","6-4","Kansas","B12",15.3235,5.2059,1.9412,0.6471,0.5,0.0588,0.542,0.313,0.786,0.588199999016485,1.10013601,49.3,53.37,16.9,100.2,102.376,0.7143,0.3,-0.701985,1.5144,0.812417,29.2,3.4,73,2024
"111","Chris Austin","Wing G","Sr","6-4","Portland","WCC",25.4242,6.7879,2.1818,1.0606,0.4848,0.1515,0.423,0.354,0.727,1.09089989737559,0.97222486,47,49.33,15,96.8,119.986,0.4407,0.413,-2.78766,-1.95528,-4.74293,18,3.3,64,2024
"112","Jalen Cobb","Combo G","Sr","6-1","Mercer","SC",20.8182,5.8182,2.7576,1.4242,0.9697,0.1818,0.404,0.384,0.75,0.666699978259458,2.13619326,51.7,53.57,14.7,110.2,107.325,0.3333,0.48,-0.44411,0.463041,0.0189313,15.9,3.6,64,2024
"113","Zion Young","Wing G","Sr","6-4","Southern Utah","WAC",29.5484,13.8065,3.5161,0.7419,0.5806,0.129,0.438,0.313,0.78,1.12899990330684,0.65713026,45.4,51.85,22,104.3,113.007,0.5479,0.3375,0.506099,-2.86993,-2.36383,45,3.4,67,2024
"114","Jordan Brown","C","Sr","6-11","Memphis","Amer",10.3333,4,2.2222,0.1667,0.2222,0.2778,0.483,0,0.56,1.11109992827507,0.15003151,48.3,50.09,23.5,88.3,107.122,0.5484,0.4138,-5.60808,-1.56077,-7.16885,41.7,5.4,70,2024
"115","Jaylan Gainey","C","Sr","6-10","Florida St.","ACC",10.5714,2.75,2,0.1071,0.2857,0.6429,0.627,0,0.464,0.535700003596343,0.19992533,62.7,59.88,13.2,103,105.384,0.7568,0.2857,-0.618837,1.61286,0.994021,54.9,3.5,70,2024
"116","Matt Mims","Combo G","Sr","6-0","South Dakota St.","Sum",29.7727,7.0909,2.6818,1.1364,0.7273,0,0.375,0.367,0.828,0.909100007072645,1.25002749,50.8,54.25,12.5,104.8,109.024,0.5333,0.2353,-2.21908,-0.425618,-2.6447,22.3,2.4,68,2024
"117","Ebrima Dibba","Wing G","Sr","6-5","South Carolina","SEC",4.8333,0.5,0.6667,0.3333,0,0,0.25,0,0.25,0.166700008335501,1.99940002,20,21.74,14.3,54.9,107.526,0.5,0,-9.39442,-3.08049,-12.4749,80,4.1,66,2024
"118","Jaxson Baker","Stretch 4","Sr","6-8","New Hampshire","AE",30.1935,11.7419,6.6129,0.7419,1.0645,0.7097,0.509,0.354,0.806,0.806499987683455,0.91990082,52.3,55.52,17.7,114.1,102.07,0.5909,0.375,1.73589,0.147382,1.88327,23.3,3.2,75,2024
"119","Lahat Thioune","C","Sr","6-10","South Dakota","Sum",26.9355,14.2903,9.2581,0.8065,0.5161,0.4516,0.567,0,0.713,2.70970004074126,0.29763442,56.7,58.82,28.1,105.7,111.075,0.6242,0.5152,1.09891,-2.83766,-1.73876,27.7,3.5,68,2024
